航空單位,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TAC,TAC00007,第一航貨運3停車場C3,25.08633,121.24495,小車第一個30分鐘10元，每15分鐘5元。小車每日最高250元。進場未滿30分鐘內出場之車輛免費,無,33758桃園市大園區航勤北路21號旁邊
TAC,TAC00004,第二航廈4號停車場,25.075843,121.230593,"第1小時30元,第2小時起每30分鐘加收20元,當日最高490元",有,桃園市大園區航站南路9號
TAC,TAC00005,第一航貨運1停車場C1,25.08719,121.24435,小車第一個30分鐘10元，每15分鐘5元。小車每日最高250元。進場未滿30分鐘內出場之車輛免費,無,33758桃園市大園區航勤北路21號
TAC,TAC00001,第一航廈出境停車場P1,25.08215,121.23891,大車第一小時60元，每逾半小時加收40元。小車第一小時30元，每逾半小時加收20元。停車費大車每日最高980元，小車每日最高490元。進場未滿30分鐘內出場之車輛免費,有,337041桃園市大園區航站南路9號
TAC,TAC00002,第一航廈入境停車場P2,25.07976,121.23535,大車第一小時60元，每逾半小時加收40元。小車第一小時30元，每逾半小時加收20元。停車費大車每日最高980元，小車每日最高490元。進場未滿30分鐘內出場之車輛免費,有,337041桃園市大園區航站南路9號
CAA,tsa001,臺北國際航空站 第1號停車場,25.062570571899414,121.55127716064453,計時：40元/時(8-21)，10元/時(21-8),無,臺北市松山區敦化北路340-9號
CAA,CAATCA02,臺中航空站停車場國內航廈北側停車場,24.256389617919922,120.60053253173828,每小時30元、每日最高上限200元,無,臺中市沙鹿區中航路1段168號
CAA,tsa002,臺北國際航空站 第2號停車場,25.06277084350586,121.55272674560547,計時：40元/時(8-21)、10元/時(21-8),無,臺北市松山區敦化北路340-9號
CAA,hun001,花蓮航空站計時收費停車場,24.02522087097168,121.61276245117188,計時，30分鐘10元，平日最高160元。未滿30分鐘已30分鐘計，逾30分以1小時計(開放時間：每日06：00~22：00(非開放時間不計費)。,有,花蓮縣新城鄉嘉里村嘉里路機場1號(地下室)
CAA,97100722,臺南航空站B1旅客停車場,22.94753074645996,120.21627807617188,"30分鐘內：免費,30分鐘~1小時：30元,每逾1小時加收：30元,當日最高（隔日另計）：240元,停滿3天打七折,停滿5天打五折",有,臺南市南區機場路775號
CAA,CAAMK01,澎湖航空站旅客停車場,23.56031,119.6315,汽車停車場收費標準： （一）停車30分鐘內免費。 （二）停放30分鐘以上者，每小時20元，每日最高以8小時計收，每日最高150元。 （三）非國定例假日之週一至週五每日最高60元。 （四）身心障礙者停車費：限當日當次停車費免收停車費（身心障礙者自行駕駛之車輛，應具備本人之駕照、行照及身心障礙手冊，或由家屬、必需陪伴人載送身心障礙者本人時之車輛，應具備被載人之身心障礙手冊）。,無,澎湖縣湖西鄉隘門村126-5號
CAA,CAAKHH01,高雄國際航空站旅客停車場,22.5704402923584,120.34246826171875,機車每日每次20元；小型車每小時30元，每30分鐘計費，當日最高240元；大型車每小時50元，每30分鐘計費，當日最高475元；,無,高雄市小港區中山四路2號
CAA,Kma001,金門航空站第一停車場,24.43645,118.36698,星期一至星期五:40元  星期六及星期日:70元 逾30分鐘者 計日計次,無,金門縣金湖鎮金門金湖尚義2號
CAA,RCFN01,豐年機場停車場,22.75602,121.10831,計時:20元/30分鐘 (前30分鐘不計費，逾30分鐘未滿1小時以1小時計費(40元)) (每日收費最高240元),有,臺東縣臺東市民航路1100號
CAA,CAATCA01,臺中航空站國際航廈停車場,24.252750396728516,120.59877014160156,每小時三十元，每日最高二百元,有,臺中市沙鹿區中航路1段168號
CAA,CYA001,嘉義航空站停車場,23.454389572143555,120.40408325195312,小型車：30分鐘以內免費，逾30分鐘至1小時20元，超過1小時以後每30分鐘加收10元，每日最高收費100元，隔日另計。機車:當日當次20元，隔日另計。,無,嘉義縣水上鄉三和村榮典路1號
CAA,Kma002,金門航空站第二停車場,24.435819625854492,118.36734008789062,  1.開放時間7時00分至20時00分止(並配合航機表訂時間適當調整)。  2.停車時數未逾30分鐘出場者不收費。  3.停車時數逾30分鐘未滿1小時者，以1小時計算收費。  4.停車時數逾1小時以上，其超過之不滿1小時部份，如不逾30分鐘者，以30分鐘計算加收10；如逾30分鐘者，以1小時計算加收20元。  5.隔日係自7時00分起計費。  ,有,金門縣金湖鎮正義里19鄰尚義機場2號
CAA,tsa003,臺北國際航空站 第3號停車場,25.063119888305664,121.55342864990234,計時：40元/時(8-21)、10元/時(21-8),有,臺北市松山區敦化北路407號
